map_file,startposition,route_length_m,turns,uturns,E_gesamt_J,scanned_forest_rate,duration_sec,overlap_rate,overlap_rate_forest,temp_mean_C
map_random_1.json,0,113101.29,988,52,2659828.3,0.381335,1034.996,0.290818,0.439441,38.1
map_random_1.json,1,114240.55,993,46,2684727.2,0.385945,1093.363,0.297837,0.448432,38.6
map_random_1.json,2,117149.15,980,44,2746241.4,0.373987,1106.581,0.307132,0.418906,37.8
map_random_1.json,3,110022.1,952,53,2586311.1,0.374974,908.754,0.279485,0.406441,37.8
map_random_1.json,4,109088.35,948,50,2564613.7,0.388743,1074.5,0.286832,0.43035,37.8
map_random_2.json,0,108901.8,960,48,2562159.7,0.394039,939.636,0.285186,0.450758,38.1
map_random_2.json,1,110185.77,892,40,2577867.0,0.384481,1017.082,0.293712,0.416433,38.65
map_random_2.json,2,106719.23,863,36,2496158.1,0.388161,934.135,0.272659,0.424397,38.6
map_random_2.json,3,113125.77,937,46,2650962.0,0.385503,1046.702,0.309055,0.419847,38.6
map_random_2.json,4,113042.17,990,51,2658692.7,0.378041,1113.362,0.286653,0.427297,37.55
map_random_3.json,0,111896.14,918,41,2619950.0,0.381725,1075.903,0.273981,0.4434,37.85
map_random_3.json,1,111725.85,891,41,2611748.8,0.393534,1066.889,0.302695,0.428064,38.35
map_random_3.json,2,107157.9,906,43,2514058.9,0.395729,948.471,0.27556,0.450249,38.6
map_random_3.json,3,115315.26,926,37,2695830.6,0.390115,1156.967,0.302001,0.455269,38.1
map_random_3.json,4,113458.27,889,36,2648707.0,0.394898,1116.061,0.30975,0.446196,38.35
map_californien.json,0,36186.46,168,6,824812.1,0.266417,89.047,0.153486,0.528455,37.6
map_californien.json,1,36561.23,183,6,835532.1,0.24251,84.076,0.137507,0.469499,37.6
map_californien.json,2,35094.18,161,8,799957.0,0.266743,82.829,0.182534,0.392986,37.6
map_californien.json,3,30955.8,169,9,710397.6,0.281734,83.321,0.150974,0.433052,37.6
map_californien.json,4,30883.37,169,9,708804.2,0.282454,84.87,0.15136,0.433052,37.8
map_elk_fire_Colorado.json,0,86810.35,427,20,1983582.7,0.63301,214.066,0.257861,0.730383,38.1
map_elk_fire_Colorado.json,1,84259.77,402,18,1923014.9,0.67449,220.617,0.261075,0.800798,38.1
map_elk_fire_Colorado.json,2,88158.22,411,27,2011750.8,0.61953,218.884,0.2422,0.747772,38.4
map_elk_fire_Colorado.json,3,87706.97,405,28,2000998.3,0.618997,224.398,0.239576,0.74072,37.55
map_elk_fire_Colorado.json,4,89272.85,414,26,2036602.6,0.616141,229.664,0.256849,0.720581,37.55
map_havel.json,0,142973.58,507,19,3232208.7,0.902756,679.687,0.332385,0.917686,38.35
map_havel.json,1,131077.04,397,13,2951344.9,0.900708,596.342,0.27548,0.893163,37.55
map_havel.json,2,132007.4,393,22,2972637.9,0.882753,641.248,0.273886,0.855049,37.05
map_havel.json,3,129601.89,419,21,2923841.6,0.887023,584.59,0.251294,0.896292,38.35
map_havel.json,4,130004.84,405,12,2928911.4,0.87531,604.134,0.246184,0.866106,37.6
map_Kreta_1.json,0,127901.15,398,19,2882630.3,0.8203,461.933,0.29867,0.816364,37.6
map_Kreta_1.json,1,130632.4,417,14,2945027.8,0.799035,466.672,0.289826,0.810877,37.3
map_Kreta_1.json,2,123499.47,409,12,2786453.2,0.794126,443.006,0.253771,0.762772,37.55
map_Kreta_1.json,3,135995.49,465,17,3071430.7,0.767998,485.805,0.302592,0.748876,38.1
map_Kreta_1.json,4,132833.94,412,15,2992801.8,0.78301,490.197,0.30094,0.759653,38.4
map_Kreta_2.json,0,47659.98,195,11,1082509.6,0.498516,111.813,0.261484,0.738084,38.1
map_Kreta_2.json,1,45182.41,219,11,1031963.0,0.502227,115.549,0.291883,0.629504,38.35
map_Kreta_2.json,2,46432.48,226,9,1060289.6,0.480057,109.796,0.261468,0.656894,38.9
map_Kreta_2.json,3,43869.69,214,11,1002258.1,0.478079,109.954,0.248825,0.606742,38.6
map_Kreta_2.json,4,48270.13,247,9,1104182.8,0.535391,113.05,0.324424,0.740099,37.8
map_lee_fire_Colorado.json,0,133263.66,529,24,3023045.5,0.786927,353.012,0.258522,0.802817,37.05
map_lee_fire_Colorado.json,1,137510.87,555,24,3120774.0,0.778631,363.577,0.26415,0.815114,37.8
map_lee_fire_Colorado.json,2,135825.05,554,24,3083521.1,0.781541,347.94,0.266701,0.81254,38.35
map_lee_fire_Colorado.json,3,139399.31,567,24,3164299.9,0.788307,382.198,0.293537,0.810619,37.85
map_lee_fire_Colorado.json,4,140904.98,543,31,3194619.5,0.767722,354.844,0.283592,0.77995,38.1
map_Missen_Wilhams.json,0,93605.42,370,20,2123669.3,0.731644,389.528,0.286883,0.803888,38.35
map_Missen_Wilhams.json,1,88270.21,360,19,2004479.5,0.775313,392.92,0.281567,0.862988,38.9
map_Missen_Wilhams.json,2,95240.87,358,15,2156844.0,0.741524,415.984,0.293963,0.84526,38.1
map_Missen_Wilhams.json,3,92174.68,376,12,2091863.0,0.702199,408.349,0.246215,0.805921,37.6
map_Missen_Wilhams.json,4,94286.74,397,16,2142453.4,0.735947,406.339,0.287846,0.838504,37.05
